yil,ortalama_doluluk_pct,min_doluluk_pct_tahmini,doluluk_endeksi_0_100,girisim_su_hacmi_hm3,cekis_su_hacmi_hm3
2000,30.0,3.49,8.72,505583.222,415397.962
2001,38.9,6.62,16.56,960642.867,436517.748
2002,61.76,14.28,35.7,2070562.143,432046.87
2003,55.93,12.32,30.79,1785621.122,431143.131
2004,47.85,9.22,23.06,1337248.049,376800.245
2005,54.94,12.42,31.05,1800806.137,494780.324
2006,51.27,10.19,25.48,1477834.694,350922.789
2007,38.72,6.72,16.81,974867.853,459488.703
2008,41.98,7.8,19.49,1130151.116,455766.267
2009,70.0,16.88,42.21,2447892.189,407677.578
2010,58.19,12.66,31.65,1835519.178,371037.922
2011,59.6,13.66,34.14,1980001.642,446860.547
2012,38.41,6.36,15.91,922668.469,422421.61
2013,30.96,3.65,9.12,529073.265,392199.811
2014,42.85,8.36,20.91,1212562.484,495790.692
2015,59.24,13.18,32.94,1910502.826,394661.805
2016,51.23,11.0,27.49,1594302.201,469108.236
2017,36.24,5.48,13.69,793806.794,399534.34
2018,33.77,5.05,12.62,731675.03,457826.338
2019,45.94,8.72,21.81,1264945.256,397464.653
2020,43.25,8.16,20.41,1183962.351,447877.191
2021,40.88,7.13,17.82,1033713.291,413326.448
2022,44.01,8.45,21.12,1224990.338,451852.255
2023,40.55,6.45,16.13,935386.72,330759.832
2024,33.02,5.07,12.67,734664.444,497411.136
2025,42.82,7.53,18.82,1091532.966,376483.511
