parcel_type,category,crop,seed_fidan_share,fertilizer_share,pesticide_share,tillage_share,labor_maintenance_share,harvest_packaging_share,other_share,operations_note,source
field,Tarla,BUĞDAY (Dane),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,ARPA (Dane),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,ÇAVDAR (Dane),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,TRTİKALE (Dane),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,YULAF (Dane),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,KURU FASULYE,0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,NOHUT,0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,AYÇİÇEĞİ,0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,PATATES,0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
field,Tarla,BUĞDAY (YEŞİLOT),0.11,0.24,0.07,0.22,0.14,0.13,0.09,Ürün bazlı oranlı maliyet dağılımı; yüklenen 2024 Excel ürün listesine göre güncellendi. Fiyat alanları Excelde boş olduğundan ekonomik değerler proxy kalmıştır.,excel_synced_crop_specific_proxy_2024
