 crop,year,price_tl_kg,yield_kg_da,cost_tl_da,notes
PATATES,2024,0,0,0,PLEASE_FILL
SILAJLIK_MISIR,2024,0,0,0,PLEASE_FILL
YONCA_YESILOT,2024,0,0,0,PLEASE_FILL
BUGDAY_DANE,2024,0,0,0,PLEASE_FILL
ARPA_DANE,2024,0,0,0,PLEASE_FILL
SEKER_PANCARI,2024,0,0,0,PLEASE_FILL
CAVDAR_DANE,2024,0,0,0,PLEASE_FILL
DOMATES_SALCALIK,2024,0,0,0,PLEASE_FILL
DOMATES_SOFRALIK,2024,0,0,0,PLEASE_FILL
LAHANA_BEYAZ,2024,0,0,0,PLEASE_FILL
KABAK_CEREZLIK,2024,0,0,0,PLEASE_FILL
FASULYE_TAZE,2024,0,0,0,PLEASE_FILL
SOGAN_KURU,2024,0,0,0,PLEASE_FILL
KAVUN,2024,0,0,0,PLEASE_FILL
BIBER_SALCALIK,2024,0,0,0,PLEASE_FILL
ISPANAK,2024,0,0,0,PLEASE_FILL
MARUL,2024,0,0,0,PLEASE_FILL
FIG,2024,0,0,0,PLEASE_FILL
YEM_BEZELYESI,2024,0,0,0,PLEASE_FILL
