crop,year,price_tl_kg,cost_tl_da,support_tl_da,note,ekonomi_kaynak_durumu
Armut,2024,10.2363,13809.524,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Arpa (Dane),2024,15.2556,4622.222,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Arpa (Yeşilot),2024,6.6667,7466.667,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Ayçiçeği,2024,25.0,2050.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Badem,2024,60.811,12428.571,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Barbunya fasulye (Taze),2024,4.1667,3200.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Bağ,2024,70.0,6000.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Biber (Salçalık),2024,6.3583,16277.157,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Biber (Sivri),2024,11.1111,12444.444,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Buğday (Dane),2024,14.4254,4776.955,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Buğday (Yeşilot),2024,6.0,8500.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Ceviz,2024,45.3515,13809.524,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Diğer Alan,2024,,,0.0,v18:missing_yield,missing_yield
Domates (Salçalık),2024,5.5527,28429.723,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Domates (Sofralık),2024,6.0276,15430.574,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Elma,2024,7.9476,15190.476,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Erik,2024,5.0,18300.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Fasulye (Taze),2024,4.0,4424.365,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Fiğ (Yeşilot),2024,6.25,8000.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Hıyar (Sofralık),2024,5.2525,9244.444,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kabak,2024,19.6141,37659.134,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kabak,2024,19.6141,37659.134,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kabak,2024,19.6141,37659.134,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Karpuz,2024,4.0,13500.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
Kavun,2024,4.0,9300.0,0.0,v18:implied_from_net_profit_and_yield_v18,implied_from_net_profit_and_yield_v18
