parcel_id,soil_code,month,year,tavg_c,tmin_c,tmax_c,precip_mm,rh_pct,wind_m_s,et0_mm,et0_mm_raw_input,et0_mm_fao56_sync,et0_mm_source_status
P1,SAZ-001,2024-01-01,2024,3.3,-7.0,14.9,50.8,71.8,2.3,38.933,78.8,38.933,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-02-01,2024,5.3,-5.9,17.2,7.6,63.5,2.1,58.265,84.6,58.265,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-03-01,2024,7.3,-2.9,25.1,47.4,59.6,2.3,118.586,121.9,118.586,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-04-01,2024,15.5,3.3,30.3,37.4,47.3,2.5,182.968,239.3,182.968,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-05-01,2024,15.1,2.5,29.5,48.6,57.7,2.4,189.987,223.7,189.987,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-06-01,2024,23.9,10.7,35.7,10.2,37.2,2.5,247.459,424.2,247.459,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-07-01,2024,24.0,13.3,34.4,30.0,45.1,2.5,226.398,424.5,226.398,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-08-01,2024,24.1,12.7,36.7,7.8,40.2,2.3,227.594,396.0,227.594,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-09-01,2024,20.0,6.8,31.8,12.2,48.4,2.0,156.472,274.8,156.472,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-10-01,2024,12.8,-1.0,29.1,0.4,47.7,1.9,126.837,174.4,126.837,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-11-01,2024,5.2,-12.1,20.6,22.4,64.0,2.0,63.252,87.9,63.252,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P1,SAZ-001,2024-12-01,2024,3.4,-9.3,15.3,38.6,74.3,2.0,33.267,65.8,33.267,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-01-01,2024,3.3,-7.0,14.9,50.8,71.8,2.3,38.933,78.8,38.933,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-02-01,2024,5.3,-5.9,17.2,7.6,63.5,2.1,58.265,84.6,58.265,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-03-01,2024,7.3,-2.9,25.1,47.4,59.6,2.3,118.586,121.9,118.586,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-04-01,2024,15.5,3.3,30.3,37.4,47.3,2.5,182.968,239.3,182.968,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-05-01,2024,15.1,2.5,29.5,48.6,57.7,2.4,189.987,223.7,189.987,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-06-01,2024,23.9,10.7,35.7,10.2,37.2,2.5,247.459,424.2,247.459,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-07-01,2024,24.0,13.3,34.4,30.0,45.1,2.5,226.398,424.5,226.398,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-08-01,2024,24.1,12.7,36.7,7.8,40.2,2.3,227.594,396.0,227.594,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-09-01,2024,20.0,6.8,31.8,12.2,48.4,2.0,156.472,274.8,156.472,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-10-01,2024,12.8,-1.0,29.1,0.4,47.7,1.9,126.837,174.4,126.837,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-11-01,2024,5.2,-12.1,20.6,22.4,64.0,2.0,63.252,87.9,63.252,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P2,SAZ-002,2024-12-01,2024,3.4,-9.3,15.3,38.6,74.3,2.0,33.267,65.8,33.267,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-01-01,2024,3.3,-7.0,14.9,50.8,71.8,2.3,38.933,78.8,38.933,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-02-01,2024,5.3,-5.9,17.2,7.6,63.5,2.1,58.265,84.6,58.265,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-03-01,2024,7.3,-2.9,25.1,47.4,59.6,2.3,118.586,121.9,118.586,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-04-01,2024,15.5,3.3,30.3,37.4,47.3,2.5,182.968,239.3,182.968,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-05-01,2024,15.1,2.5,29.5,48.6,57.7,2.4,189.987,223.7,189.987,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-06-01,2024,23.9,10.7,35.7,10.2,37.2,2.5,247.459,424.2,247.459,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-07-01,2024,24.0,13.3,34.4,30.0,45.1,2.5,226.398,424.5,226.398,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-08-01,2024,24.1,12.7,36.7,7.8,40.2,2.3,227.594,396.0,227.594,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-09-01,2024,20.0,6.8,31.8,12.2,48.4,2.0,156.472,274.8,156.472,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-10-01,2024,12.8,-1.0,29.1,0.4,47.7,1.9,126.837,174.4,126.837,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-11-01,2024,5.2,-12.1,20.6,22.4,64.0,2.0,63.252,87.9,63.252,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P3,SAZ-003,2024-12-01,2024,3.4,-9.3,15.3,38.6,74.3,2.0,33.267,65.8,33.267,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-01-01,2024,3.3,-7.0,14.9,50.8,71.8,2.3,38.933,78.8,38.933,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-02-01,2024,5.3,-5.9,17.2,7.6,63.5,2.1,58.265,84.6,58.265,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-03-01,2024,7.3,-2.9,25.1,47.4,59.6,2.3,118.586,121.9,118.586,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-04-01,2024,15.5,3.3,30.3,37.4,47.3,2.5,182.968,239.3,182.968,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-05-01,2024,15.1,2.5,29.5,48.6,57.7,2.4,189.987,223.7,189.987,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-06-01,2024,23.9,10.7,35.7,10.2,37.2,2.5,247.459,424.2,247.459,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-07-01,2024,24.0,13.3,34.4,30.0,45.1,2.5,226.398,424.5,226.398,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-08-01,2024,24.1,12.7,36.7,7.8,40.2,2.3,227.594,396.0,227.594,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-09-01,2024,20.0,6.8,31.8,12.2,48.4,2.0,156.472,274.8,156.472,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-10-01,2024,12.8,-1.0,29.1,0.4,47.7,1.9,126.837,174.4,126.837,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-11-01,2024,5.2,-12.1,20.6,22.4,64.0,2.0,63.252,87.9,63.252,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P4,SAZ-004,2024-12-01,2024,3.4,-9.3,15.3,38.6,74.3,2.0,33.267,65.8,33.267,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P5,SAZ-005,2024-01-01,2024,3.3,-7.0,14.9,50.8,71.8,2.3,38.933,78.8,38.933,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
P5,SAZ-005,2024-02-01,2024,5.3,-5.9,17.2,7.6,63.5,2.1,58.265,84.6,58.265,cropwat_fao56_pm_from_advisor_or_excel_replicated_regional
