month,fill_pct,storage_m3,ec_dS_m_assumed,water_quality_class_assumed,notes
2000-01-01,15.6092865403003,21036298.335226428,2.89,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-02-01,14.18791165992838,19120742.108328857,2.92,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-03-01,10.30464327015015,13887345.17168979,2.99,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-04-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-05-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-06-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-07-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-08-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-09-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-10-01,5.0,6738392.008153152,3.1,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-11-01,12.019289549241,16198136.928456854,2.96,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2000-12-01,17.48229421629423,23560510.326251816,2.85,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-01-01,20.37108337592258,27453669.083547633,2.79,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-02-01,20.23613638967141,27271803.94481181,2.8,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-03-01,17.34930665900328,23381285.867605187,2.85,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-04-01,13.08385928313946,17632834.565861464,2.94,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-05-01,8.773995098027612,11824523.689624839,3.02,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-06-01,6.020415795103538,8113584.335896937,3.08,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-07-01,5.841051999604353,7871859.622668193,3.08,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-08-01,8.7298411592327,11765018.379964015,3.03,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-09-01,14.23726263553395,19187251.352251887,2.92,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-10-01,21.21213537552693,28587136.698062684,2.78,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-11-01,28.54845751824387,38474139.59720684,2.63,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2001-12-01,34.35015122875959,46292956.90374515,2.51,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-01-01,37.65500174658306,50746832.56723367,2.45,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-02-01,38.00861020571224,51223383.050235935,2.44,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-03-01,35.62934586073288,48016899.8807374,2.49,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-04-01,31.95148269496859,43060323.12808401,2.56,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-05-01,28.21461212635023,38024223.37306787,2.64,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-06-01,26.01236998993308,35056309.2106576,2.68,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-07-01,26.3069710462082,35453336.69129715,2.67,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-08-01,29.61182156403166,39907212.354785636,2.61,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-09-01,35.47252267740146,47805552.6636867,2.49,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-10-01,42.74983741726432,57613032.5604681,2.35,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-11-01,47.00387596954162,63346108.43707625,2.26,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2002-12-01,49.77571629606597,67081657.7779019,2.2,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-01-01,49.85230767829901,67184878.32948843,2.2,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-02-01,46.87079548612483,63166758.74389687,2.26,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-03-01,41.38144859546201,55768884.50029234,2.37,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-04-01,34.22248923324359,46120909.589679174,2.52,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-05-01,27.11038343247583,36536078.21187254,2.66,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-06-01,21.48047585746101,28948773.369848385,2.77,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-07-01,18.5458172267375,24993797.317063406,2.83,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-08-01,18.62240860897055,25097017.868649926,2.83,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-09-01,21.34739537404423,28769423.676669035,2.77,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-10-01,25.64828748777219,34565643.08608372,2.69,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-11-01,30.46161259634998,41052457.374940425,2.59,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2003-12-01,33.89543131552388,45680140.697886035,2.52,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-01-01,34.90630401302937,47042471.99911229,2.5,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-02-01,33.13358835226715,44653421.390870675,2.54,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-03-01,28.97479003902638,39048698.72737818,2.62,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-04-01,23.39962196719186,31535165.13150611,2.73,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-05-01,17.83674168508729,24038191.52445688,2.84,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-06-01,13.65336779238662,18400348.883318726,2.93,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-07-01,11.89293992135435,16027858.263899945,2.96,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-08-01,12.90381261885984,17390189.565126188,2.94,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-09-01,16.32534354830378,22001312.899248965,2.87,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-10-01,21.15095644661153,28504687.176928513,2.78,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-11-01,28.43078511068499,38315555.035071865,2.63,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2004-12-01,34.06375855365375,45906991.681119815,2.52,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-01-01,36.95788172828171,49807338.97522457,2.46,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-02-01,36.64144565760182,49380884.91727243,2.47,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-03-01,33.41985692477804,45039219.363109216,2.53,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-04-01,28.71771536465266,38702244.74111848,2.63,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-05-01,23.97399820607651,32309239.5830608,2.72,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-06-01,20.87713626860505,28135665.63709852,2.78,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
2005-07-01,20.5191245994744,27653181.043079406,2.79,C4 (very high),Tez paketinde ölçülmüş su kalite serisi bulunmadığı için doluluk-temelli vekil EC serisi üretildi; gerçek DSİ/laboratuvar verisiyle değiştirilebilir.
