parcel_id,local_parcel_id,village,district,current_crop,candidate_crop_id,crop,candidate_crop_norm,area_da,crop_group,category,water_m3_da,net_water_m3_da,water_m3_total,net_water_m3_total,yield_ton_da,production_ton,yield_ratio,current_quota_m3,water_saving_m3_vs_current,is_current_crop,is_feasible_under_current_quota,irrigation_text,total_efficiency,peak_month,peak_gross_m3_da,soil_text,source_workbook,profit_tl_da,profit_tl_total,yield_kg_da_model,candidate_crop,crop_norm,current_crop_norm,candidate_crop_norm_norm,quota_equal_village_equal_parcel_m3,quota_current_demand_reference_m3,quota_area_fair_per_da_m3,quota_hybrid_area70_current30_m3
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U01,BUĞDAY (Dane),BUGDAYDANE,2700.0,Tarla_Kuru,Tarla,612.83,390.67,1654641.0,1054809.0,0.5174,1396.98,1.0,2015210.7426455873,0.0,1,1,Yagmurlama,0.637,Haziran,243.58,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2687.037,7254999.9,517.4,BUĞDAY (Dane),BUGDAYDANE,BUGDAYDANE,BUGDAYDANE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U02,ARPA (Dane),ARPADANE,2700.0,Tarla_Kuru,Tarla,515.35,328.53,1391445.0,887031.0,0.4734,1278.18,1.0,2015210.7426455873,263196.0,0,1,Yagmurlama,0.637,Haziran,212.5,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2600.0,7020000.0,473.4,ARPA (Dane),ARPADANE,BUGDAYDANE,ARPADANE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U03,ÇAVDAR (Dane),CAVDARDANE,2700.0,Tarla_Kuru,Tarla,513.94,327.64,1387638.0,884628.0,0.325,877.5,1.0,2015210.7426455873,267003.0,0,1,Yagmurlama,0.637,Haziran,212.05,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2500.0,6750000.0,325.0,ÇAVDAR (Dane),CAVDARDANE,BUGDAYDANE,CAVDARDANE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U04,TRTİKALE (Dane),TRTIKALEDANE,2700.0,Tarla_Kuru,Tarla,542.15,345.62,1463805.0,933174.0,0.4,1080.0,1.0,2015210.7426455873,190836.0,0,1,Yagmurlama,0.637,Haziran,221.1,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2700.0,7290000.0,400.0,TRTİKALE (Dane),TRTIKALEDANE,BUGDAYDANE,TRTIKALEDANE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U05,YULAF (Dane),YULAFDANE,2700.0,Tarla_Kuru,Tarla,492.83,314.17,1330641.0,848259.0,0.3,810.0,1.0,2015210.7426455873,324000.0,0,1,Yagmurlama,0.637,Haziran,205.32,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2500.0,6750000.0,300.0,YULAF (Dane),YULAFDANE,BUGDAYDANE,YULAFDANE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U06,KURU FASULYE,KURUFASULYE,2700.0,Tarla_Sulamali,Tarla,834.51,532.0,2253177.0,1436400.0,0.375,1012.5,1.0,2015210.7426455873,-598536.0,0,0,Yagmurlama,0.637,Ağustos,262.96,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,5500.0,14850000.0,375.0,KURU FASULYE,KURUFASULYE,BUGDAYDANE,KURUFASULYE,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U07,NOHUT,NOHUT,2700.0,Tarla_Kuru,Tarla,664.86,423.85,1795122.0,1144395.0,0.09,243.0,1.0,2015210.7426455873,-140481.0,0,1,Yagmurlama,0.637,Temmuz,224.31,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,3200.0,8640000.0,90.0,NOHUT,NOHUT,BUGDAYDANE,NOHUT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U08,AYÇİÇEĞİ,AYCICEGI,2700.0,Tarla_Sulamali,Tarla,970.91,618.96,2621457.0,1671192.0,0.25,675.0,1.0,2015210.7426455873,-966816.0,0,0,Yagmurlama,0.637,Ağustos,330.31,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,4200.0,11340000.0,250.0,AYÇİÇEĞİ,AYCICEGI,BUGDAYDANE,AYCICEGI,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U09,PATATES,PATATES,2700.0,Tarla_Sulamali,Tarla,889.52,567.06,2401704.0,1531062.0,4.0,10800.0,1.0,2015210.7426455873,-747063.0,0,0,Yagmurlama,0.637,Temmuz,248.35,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,2321.017,6266745.9,4000.0,PATATES,PATATES,BUGDAYDANE,PATATES,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U10,BUĞDAY (YEŞİLOT),BUGDAYYESILOT,2700.0,Tarla_Yem,Tarla,457.61,291.72,1235547.0,787644.0,2.0,5400.0,1.0,2015210.7426455873,419094.0,0,1,Yagmurlama,0.637,Nisan,211.55,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,3500.0,9450000.0,2000.0,BUĞDAY (YEŞİLOT),BUGDAYYESILOT,BUGDAYDANE,BUGDAYYESILOT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U11,ARPA (YEŞİLOT),ARPAYESILOT,2700.0,Tarla_Yem,Tarla,442.87,282.33,1195749.0,762291.0,1.75,4725.0,1.0,2015210.7426455873,458892.0,0,1,Yagmurlama,0.637,Nisan,205.54,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,4200.0,11340000.0,1750.0,ARPA (YEŞİLOT),ARPAYESILOT,BUGDAYDANE,ARPAYESILOT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U12,ÇAVDAR (YEŞİLOT),CAVDARYESILOT,2700.0,Tarla_Yem,Tarla,487.14,310.55,1315278.0,838485.0,2.0,5400.0,1.0,2015210.7426455873,339363.0,0,1,Yagmurlama,0.637,Nisan,223.56,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,3900.0,10530000.0,2000.0,ÇAVDAR (YEŞİLOT),CAVDARYESILOT,BUGDAYDANE,CAVDARYESILOT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U13,TRİTİKALE (YEŞİLOT),TRITIKALEYESILOT,2700.0,Tarla_Yem,Tarla,472.34,301.12,1275318.0,813024.0,2.0,5400.0,1.0,2015210.7426455873,379323.0,0,1,Yagmurlama,0.637,Nisan,217.55,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,3500.0,9450000.0,2000.0,TRİTİKALE (YEŞİLOT),TRITIKALEYESILOT,BUGDAYDANE,TRITIKALEYESILOT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
P1,P001,Sazlıca,Merkez,BUĞDAY (Dane),U14,YULAF (YEŞİLOT),YULAFYESILOT,2700.0,Tarla_Yem,Tarla,457.61,291.72,1235547.0,787644.0,1.5,4050.0,1.0,2015210.7426455873,419094.0,0,1,Yagmurlama,0.637,Nisan,211.55,Tınlı-killi tınlı; organik madde düşük-orta; yağışa bağlı,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx,3800.0,10260000.0,1500.0,YULAF (YEŞİLOT),YULAFYESILOT,BUGDAYDANE,YULAFYESILOT,428510.98217,1654641.0,2015210.7426455873,1907039.8198519112
