parcel_id,area_da,area_m2,source
P1,2700.0,2700000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P001
P2,1000.0,1000000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P002
P3,40.0,40000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P003
P4,70.0,70000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P004
P5,50.0,50000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P005
P6,80.0,80000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P006
P7,80.0,80000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P007
P8,20.0,20000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P008
P9,475.0,475000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P009
P10,20.0,20000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P010
P11,20.0,20000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P011
P12,350.0,350000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P012
P13,70.0,70000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P013
P14,10.0,10000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P014
P15,70.0,70000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P015
P16,1650.0,1650000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P016
P17,650.0,650000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P017
P18,20.0,20000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P018
P19,2.0,2000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P019
P20,17.0,17000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P020
P21,60.0,60000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P021
P22,1248.0,1248000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P022
P23,3754.0,3754000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P023
P24,11.0,11000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P024
P25,2.0,2000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P025
P26,11.0,11000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P026
P27,1.0,1000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P027
P28,9.0,9000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P028
P29,106.0,106000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P029
P30,90.0,90000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P030
P31,7300.0,7300000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P031
P32,700.0,700000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P032
P33,67.0,67000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P033
P34,1.0,1000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P034
P35,1.0,1000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P035
P36,63.0,63000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P036
P37,86.0,86000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P037
P38,3826.0,3826000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P038
P39,126.0,126000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P039
P40,456.0,456000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P040
P41,129.0,129000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P041
P42,2525.0,2525000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P042
P43,596.0,596000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P043
P44,2.0,2000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P044
P45,71.0,71000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P045
P46,251.0,251000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P046
P47,12.0,12000.0,sazlica_2024_profesyonel_guncel_v12_profesyonel_duzenli (1).xlsx / P047
P48,2190.0,2190000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P001
P49,3380.0,3380000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P002
P50,170.0,170000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P003
P51,50.0,50000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P004
P52,360.0,360000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P005
P53,140.0,140000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P006
P54,100.0,100000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P007
P55,20.0,20000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P008
P56,510.0,510000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P009
P57,125.0,125000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P010
P58,2.0,2000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P011
P59,40.0,40000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P012
P60,30.0,30000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P013
P61,870.0,870000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P014
P62,10.0,10000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P015
P63,16.0,16000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P016
P64,10.0,10000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P017
P65,120.0,120000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P018
P66,457.0,457000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P019
P67,10.0,10000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P020
P68,1500.0,1500000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P021
P69,222.0,222000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P022
P70,53.0,53000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P023
P71,8438.0,8438000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P024
P72,41.0,41000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P025
P73,480.0,480000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P026
P74,20.0,20000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P027
P75,98.0,98000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P028
P76,25.0,25000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P029
P77,2.0,2000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P030
P78,203.0,203000.0,bahceli_2024_dogruluk_odakli_son_guncel_v6.xlsx / P031
P79,4441.0,4441000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P01
P80,2540.0,2540000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P02
P81,85.0,85000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P03
P82,9.0,9000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P04
P83,50.0,50000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P05
P84,160.0,160000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P06
P85,140.0,140000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P07
P86,250.0,250000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P08
P87,2960.0,2960000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P09
P88,570.0,570000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P10
P89,40.0,40000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P11
P90,900.0,900000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P12
P91,2900.0,2900000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P13
P92,5340.0,5340000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P14
P93,183.0,183000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P15
P94,16.0,16000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P16
P95,191.0,191000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P17
P96,180.0,180000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P18
P97,4960.0,4960000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P19
P98,10.0,10000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P20
P99,12.0,12000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P21
P100,7.0,7000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P22
P101,50.0,50000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P23
P102,30.0,30000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P24
P103,750.0,750000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P25
P104,520.0,520000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P26
P105,240.0,240000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P27
P106,35.0,35000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P28
P107,30.0,30000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P29
P108,1190.0,1190000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P30
P109,30.0,30000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P31
P110,30.0,30000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P32
P111,40.0,40000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P33
P112,700.0,700000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P34
P113,20.0,20000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P35
P114,4940.0,4940000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P36
P115,13.0,13000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P37
P116,170.0,170000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P38
P117,24.0,24000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P39
P118,4.0,4000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P40
P119,15.0,15000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P41
P120,3.0,3000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P42
P121,258.0,258000.0,bor_ilce_merkezi_2024_duzeltilmis_v4.xlsx / P43
P122,7110.0,7110000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P01
P123,5540.0,5540000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P02
P124,40.0,40000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P03
P125,11.0,11000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P04
P126,75.0,75000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P05
