parsel_id,alan_da,crop,parcel_type,parcel_id,birim_tipi_est,birim_sayisi_toplam_est,toplam_verim_kg_est,brut_hasilat_tl_est,toplam_maliyet_tl_est,tl_m3_net_est,cok_yillik_kilit,karar_grubu,mevcut_su_m3,mevcut_kar_tl,birim_basina_su_l_est,mevcut_tl_m3,karar_prensibi
P1,1000.0,Arpa (Dane),field,P1,bitki,450000000.0,473415.1,7222231.0,4622222.0,9.024,Hayır,tarla_adaptasyon,288120.0,2600000.0,0.64,9.024,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P2,1690.0,Buğday (Dane),field,P2,bitki,845000000.0,874442.33,12614180.28,8073053.95,7.765,Hayır,tarla_adaptasyon,584790.7,4541092.529999999,0.692,7.765,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P3,40.0,Çavdar (Dane),field,P3,bitki,14000000.0,13000.0,277777.52,177777.76,8.208,Hayır,tarla_adaptasyon,12183.6,100000.0,0.87,8.208,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P4,80.0,Nohut,field,P4,bitki,3600000.0,7200.0,252000.0,200000.0,10.245,Hayır,tarla_adaptasyon,24988.8,256000.0,6.941,10.245,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P5,70.0,Tritikale (Dane),field,P5,bitki,29400000.0,28000.0,525000.0,336000.0,9.371,Hayır,tarla_adaptasyon,20168.4,189000.0,0.686,9.371,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P6,50.0,Yulaf (Dane),field,P6,bitki,19000000.0,15000.0,347221.5,222222.2,5.708,Hayır,tarla_adaptasyon,21898.0,125000.0,1.153,5.708,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P7,86.0,Armut,orchard,P7,ağaç,2408.0,200036.0,2047628.52,1187619.06,17.944,Evet,cok_yillik_koru,47927.8,860000.0,19903.571,17.944,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P8,20.0,Arpa (Yeşilot),field,P8,bitki,8000000.0,35000.0,233334.5,149333.34,14.577,Hayır,tarla_adaptasyon,5762.4,84000.0,0.72,14.577,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P9,20.0,Ayçiçeği,field,P9,bitki,130000.0,5000.0,125000.0,41000.0,9.017,Hayır,tarla_adaptasyon,9315.8,84000.0,71.66,9.017,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P10,71.0,Badem,orchard,P10,ağaç,1775.0,25018.98,1521429.18,882428.54,16.149,Evet,cok_yillik_koru,39568.3,639000.0,22292.0,16.149,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P11,63.0,Bağ,orchard,P11,asma,13860.0,12600.0,882000.0,378000.0,17.109,Evet,cok_yillik_koru,29457.54,504000.0,2125.364,17.109,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P12,2.0,Barbunya fasulye (Taze),field,P12,bitki,24000.0,2400.0,10000.08,6400.0,5.39,Hayır,sebze_yogun,667.9,3600.0,27.829,5.39,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P13,1010.0,Buğday (Dane),field,P13,bitki,505000000.0,522595.71,7538652.12,4824724.55,7.765,Hayır,tarla_adaptasyon,349490.3,2713907.37,0.692,7.765,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P14,20.0,Buğday (Yeşilot),field,P14,bitki,9000000.0,40000.0,240000.0,170000.0,10.115,Hayır,tarla_adaptasyon,6920.6,70000.0,0.769,10.115,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P15,350.0,Çavdar (Yeşilot),field,P15,bitki,112000000.0,700000.0,4200000.0,2835000.0,12.804,Hayır,tarla_adaptasyon,106606.5,1365000.0,0.952,12.804,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P16,251.0,Ceviz,orchard,P16,ağaç,4016.0,131775.0,5976194.04,3466190.52,17.944,Evet,cok_yillik_koru,139882.3,2510000.0,34831.25,17.944,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P17,12.0,Çilek,orchard,P17,fide,66000.0,28500.0,428571.6,248571.43,60.367,Evet,cok_yillik_koru,2981.76,180000.0,45.178,60.367,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P18,472.0,Diğer Alan,field,P18,birim,0.0,0.0,,,236000.0,Hayır,tarla_adaptasyon,0.0,236000.0,,,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P19,3826.0,Elma,orchard,P19,ağaç,126258.0,12608112.4,100204233.19,58118761.18,20.67,Evet,cok_yillik_koru,2036120.68,42086000.0,16126.667,20.67,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P20,126.0,Erik,orchard,P20,ağaç,3528.0,687960.0,3439800.0,2305800.0,16.969,Evet,cok_yillik_koru,66826.62,1134000.0,18941.786,16.969,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P21,11.0,Fasulye (Taze),field,P21,bitki,132000.0,13750.0,55000.0,48668.01,1.724,Hayır,sebze_yogun,3673.45,6331.985,27.829,1.724,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P22,70.0,Fiğ (Yeşilot),field,P22,bitki,17500000.0,140000.0,875000.0,560000.0,28.878,Hayır,tarla_adaptasyon,10908.1,315000.0,0.623,28.878,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P23,2.0,Hıyar (Sofralık),field,P23,fide,3600.0,5500.0,28888.75,18488.89,16.332,Hayır,sebze_yogun,636.8,10400.0,176.889,16.332,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P24,1.0,Kabak,field,P24,ocak,850.0,3000.0,58842.3,37659.13,66.89,Hayır,sebze_yogun,316.69,21183.263,372.576,66.89,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P25,11.0,Kabak,field,P25,ocak,9350.0,33000.0,647265.3,414250.47,66.89,Hayır,sebze_yogun,3483.59,233015.893,372.576,66.89,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P26,9.0,Kabak,field,P26,ocak,7650.0,27000.0,529580.7,338932.21,66.89,Hayır,sebze_yogun,2850.21,190649.367,372.576,66.89,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P27,106.0,Karpuz,field,P27,ocak,37100.0,477000.0,1908000.0,1431000.0,11.851,Hayır,sebze_yogun,40250.32,477000.0,1084.914,11.851,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P28,90.0,Kavun,field,P28,ocak,45000.0,315000.0,1260000.0,837000.0,12.075,Hayır,sebze_yogun,35029.8,423000.0,778.44,12.075,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P29,456.0,Kayısı,orchard,P29,ağaç,12768.0,568034.43,10314312.34,5982285.89,17.912,Evet,cok_yillik_koru,241848.72,4332000.0,18941.786,17.912,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P30,129.0,Kiraz,orchard,P30,ağaç,2580.0,211090.44,3532134.16,2048642.81,21.683,Evet,cok_yillik_koru,68417.73,1483500.0,26518.5,21.683,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P31,80.0,Kuru fasulye,field,P31,bitki,1120000.0,30000.0,1260000.0,264000.0,14.162,Hayır,tarla_adaptasyon,31068.0,440000.0,27.739,14.162,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P32,700.0,Lahana (Kırmızı),field,P32,fide,1960000.0,4200000.0,16800000.0,13160000.0,24.538,Hayır,sebze_yogun,148344.0,3640000.0,75.686,24.538,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P33,7300.0,Lahana (Beyaz),field,P33,fide,21900000.0,51100000.0,204400000.0,168098939.6,23.465,Hayır,sebze_yogun,1547016.0,36301060.4,70.64,23.465,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P34,2525.0,Nektarin,orchard,P34,ağaç,70700.0,2780227.0,60119073.35,34869048.1,18.855,Evet,cok_yillik_koru,1339184.25,25250000.0,18941.786,18.855,"Bahçe/çok yıllık: ana ürün korunur, su ve kâr iyileştirmesi sulama-yönetim üzerinden yapılır."
P35,475.0,Patates,field,P35,ocak,2612500.0,1900000.0,13300000.0,6650000.0,5.491,Hayır,tarla_adaptasyon,200787.25,1102483.075,76.856,5.491,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P36,60.0,Biber (Salçalık),field,P36,fide,150000.0,240000.0,1525992.0,976629.42,21.987,Hayır,sebze_yogun,24985.8,549354.0599999999,166.572,21.987,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
P37,1.0,Sarımsak (Kuru),field,P37,diş,40000.0,1000.0,25000.0,14953.19,21.529,Hayır,sebze_yogun,466.67,10046.808,11.667,21.529,"Tarla/sebze: ürün, su verimliliği veya kâr hedefine göre yeniden seçilebilir."
