parsel_id,alan_da,mevcut_su_m3,mevcut_kar_tl,koy,ilce,toprak_kodu,lat,lon
P1,40.6152,16064.011862068968,195996.35048275866,Yeşilburç,MERKEZ,K1.1 Bs I,38.05,34.68
P10,21.7911,7957.156359375,-65986.1746875,Koyunlu,MERKEZ,B12.t.3 M VIse,38.0,34.62
P11,46.7995,16818.5703125,-148880.909375,Koyunlu,MERKEZ,B16.t.3 M VIes,38.0,34.62
P12,114.2979,40776.62457178218,-379269.5725061881,Obruk,MERKEZ,B4.R2 M VIse,37.88,34.5
P13,107.2486,38758.09345783132,-372950.54574096383,Bahçeli,MERKEZ,B8.2 M VIse,37.92,34.4
P14,414.0911,147067.04223437497,-1448736.5343906246,Koyunlu,MERKEZ,B12.2 M VIse,38.0,34.62
P15,231.6019,118123.33606254296,-608987.2475147767,Kızılca,MERKEZ,B6.2 K VIIes,37.95,34.52
P2,20.9889,8496.885724137932,60397.36913793104,Yeşilburç,MERKEZ,K10.2 Bs IIe,38.05,34.68
P3,12.8355,6893.064609374999,98410.17960937499,Koyunlu,MERKEZ,K13.2 M IIe,38.0,34.62
P4,25.9991,10426.535620689654,70013.7832586207,Yeşilburç,MERKEZ,A4 S IIw,38.05,34.68
P5,50.2534,20336.650485549133,54583.325898265895,Balcı (Bor),MERKEZ,B7.2 M IIIse,37.9,34.55
P6,19.8534,8253.556420618555,10717.288313402061,Kızılca,MERKEZ,B3.1 K IIIs,37.95,34.52
P7,38.519,15487.29448275862,39667.92879310345,Yeşilburç,MERKEZ,K15.2 M IIIse,38.05,34.68
P8,25.2039,10577.76178125,-55401.3226875,Koyunlu,MERKEZ,B11.3 K IVes,38.0,34.62
P9,20.7624,8463.922125,-30037.353375,Koyunlu,MERKEZ,B11.t.3 M VIse,38.0,34.62
